perturbation,A_persist,A_kill,A_resist,magnitude
ADRB2,0.34101976465278727,0.7247222842000783,-0.33157005532892536,0.6931471805599453
ADRM1,0.3242716885725325,-0.17674064155471803,0.5834473891014946,3.332204510175204
ADTRP,-0.08792612895930876,0.4837564591233954,0.4028469449512618,0.6931471805599453
AEBP1,-0.16129594425530758,-0.7699417234540368,-0.4199476642799144,0.0
AEBP2,0.948991884911938,-1.0090120996942786,1.2380881124376433,6.236369590203704
AEN,-0.0436556084528903,-1.632742361325849,0.11984910005220284,0.6931471805599453
TLE5,0.14185169894801106,-1.3312176724834641,0.19779642905562186,0.6931471805599453
AFAP1L2,0.862792788466811,-1.4820605852216273,1.353431318883146,0.0
AFDN,-0.4716705133727646,0.0002711026592472539,-0.07658050677498816,1.3862943611198906
AFF1,0.020486452789313433,1.1215438498883343,-0.9429187728093781,3.4011973816621555
AFF2,-0.2099776568497971,-1.1698547408773508,0.4210373423545066,0.0
AFF3,-0.25006511837683826,-0.13240681978783947,0.3423022092035998,0.0
AFF4,0.24416061961425997,0.616162887209418,-0.08014114888727712,0.6931471805599453
AFG3L2,-0.012146870506096826,1.0919721462666947,-0.3890626354887025,5.147494476813453
AFMID,-0.16098594178610803,0.3268396610361847,0.2653317393900238,0.6931471805599453
AFTPH,0.15856306484483357,-0.32621021922748933,-0.09759876159688852,1.0986122886681098
AGA,-0.1965263695889559,-0.20028778846317552,0.41647885105808985,0.6931471805599453
AGAP1,0.09836395844782007,0.5447388609512376,-0.2616804741655076,0.6931471805599453
AGAP2,-0.9005061366539903,-0.28615633132593515,0.05414246278434139,1.3862943611198906
AGAP3,-0.3064558410563258,-0.7362476788393432,0.4064316343591283,1.6094379124341003
AGAP4,-0.4153429800252159,0.22385596628758556,0.14599515771747837,1.0986122886681098
AGAP5,0.6907258884782427,-0.9730690341283529,0.46761128766593707,0.0
AGAP6,0.38510475555986834,1.3542905138462598,-0.9554572112822189,1.0986122886681098
AGAP9,-0.3383627660970665,0.4882620367765837,0.5291360525858769,0.6931471805599453
AGBL2,-0.10366178650244917,0.2199472878721612,0.4703072749254871,1.3862943611198906
AGBL5,0.2781724859673313,-2.209339187621942,0.8108560128654548,1.6094379124341003
AGER,-0.18619549788726852,-0.1592453524964996,0.4988130606069879,0.0
AGFG1,0.50422480632135,-0.4968220317656408,0.2024859958712949,2.3978952727983707
AGFG2,0.20947103748097629,-0.6553398288477995,-0.18086409747009768,1.6094379124341003
AGGF1,0.14417619054876718,0.6727361521893799,0.09652816076240334,2.4849066497880004
AGK,0.32774899799896484,0.20345217366560506,0.6466289901030827,1.791759469228055
AGL,0.10367267840167099,-1.1434598324606167,-0.0792030987084218,0.6931471805599453
AGMAT,0.044874245957764694,-0.7721195442086394,0.6354179838539625,1.0986122886681098
AGO1,0.1385764995775929,-0.8925537468249973,-0.1496872227314062,2.0794415416798357
AGO2,0.2866883117937933,-0.40737559029824205,0.7164818279562165,0.6931471805599453
AGO3,0.15847060385350387,0.2602848717602145,0.36539356249999616,1.0986122886681098
AGO4,0.14650230680740337,-1.2089663663388799,0.6484982835154761,0.0
AGPAT1,-0.6598434279699166,-0.9189699366946447,0.8450750990476057,2.5649493574615367
AGPAT2,-0.09817352676806404,0.21470338474839845,-0.2925305309154536,1.3862943611198906
AGPAT3,0.15849846802316098,-0.42926434714198614,0.593013564334549,1.3862943611198906
AGPAT4,-0.640722579370332,-0.7227027462811666,0.6352008498582845,0.6931471805599453
AGPAT5,0.4502244268569204,-0.12123972230550399,-0.23776716745032803,1.0986122886681098
AGPS,0.29464956346059357,-0.7158315594788736,0.8616405254999097,1.0986122886681098
AGR2,-0.3591247797900304,0.5259102741832394,0.12025903096771424,0.6931471805599453
AGR3,0.10202253051069578,-1.21610149202124,0.510501593975844,0.0
AGRN,-0.17837644188136467,-0.6256581101244895,0.564252337534804,3.258096538021482
AGTPBP1,-0.43121681619103286,0.5386765696922703,-0.9500189232090149,1.6094379124341003
AGTRAP,-0.09605538622661167,-0.5902389251702159,-0.9066316737077216,1.0986122886681098
AHCYL1,-0.04873945372403788,1.0571767709331479,-0.16683944611806434,2.0794415416798357
AHCYL2,-0.12517862383474618,0.15005477412161491,0.255664956312867,0.0
AHDC1,0.1815564668712551,-0.5683966333102249,0.4085109580811524,1.3862943611198906
AHI1,0.07875719769978241,0.44277231174456855,-0.278866117524527,0.6931471805599453
AHNAK,-0.4603453540186328,1.1213021318740932,-0.014028990906700142,1.6094379124341003
AHR,0.40817315097904516,0.7257009824238114,-0.4366670103639929,7.508238774678663
AHRR,0.4243568581482155,-0.3858756133020009,0.41324431350020946,0.6931471805599453
AHSA1,0.03079185650603451,-1.0191877034453594,1.2982232320245828,2.9444389791664403
AHSP,-0.5190687175537531,0.09573977617165615,0.1692391826577059,0.0
AIDA,0.24139020111176793,0.2376125882641226,0.5331467018849246,1.0986122886681098
AIF1,-0.1997907051495296,0.36347131661965376,0.045639465629241704,0.6931471805599453
AIFM1,0.8287363408225712,0.07979612599577661,-1.1403581606154911,6.906754778648554
AIFM2,0.45555076635023467,-1.2316086666988129,1.0150700115923246,0.6931471805599453
AIG1,0.3302291930121771,-0.47135691970062704,0.04952094211612612,0.6931471805599453
AIM2,-0.9468841540551034,0.35394504436312135,-0.26045691039139324,0.6931471805599453
AIMP1,0.3603151908839339,0.3919722579240054,0.5148467371615214,2.1972245773362196
AIMP2,0.12984094861062365,0.13841744555606614,-0.13911634499952105,1.0986122886681098
AIP,0.9499869339342456,-0.1592390312001236,-0.9179712503038271,5.521460917862246
AIRE,0.10200122820342337,-1.083983549679618,0.7138070109343131,0.6931471805599453
AJAP1,-0.41525166466816543,-0.01817499004591383,0.4854398951200083,1.9459101490553132
AK1,-0.0843453034735448,-0.2736550518443529,0.8742004767322618,0.0
AK3,-0.22889756300826944,-0.08529011742697508,-0.08819436251881345,4.07753744390572
AK4,0.3663547197032981,-0.0538279466718972,0.23599445167561425,1.3862943611198906
