,dataset,engaged_class,TSC,L1_state,L2_migration,L3_synapse,L4_killing,b_activation,b_cd8_identity,b_total_counts,n_counts,cd8
E16_1,exposed,medium-exposed,-0.25841689755933517,1.0653403251091969,-0.8570586452680955,0.5151415873632663,-1.3646617473452085,-1.2788790222000455,-2.6701371572145582,0.5693165198454585,8112.1,CD8+
E18_1,exposed,medium-exposed,0.3940612536015866,0.7697858530617974,0.8944737090510485,1.0377257885463986,-0.8421817680076265,-1.2035828910642556,0.9113543217192338,0.7012993372743073,8792.599999999999,CD8+
E19_1,exposed,medium-exposed,0.5065049438719312,1.4444346099681278,1.2627452829778472,1.3108189460178472,-1.4599066587970788,-1.265575120561404,-0.1589690025850159,-0.8352693820421306,3441.8999999999996,CD8-
E20_1,exposed,medium-exposed,0.5113636640726513,4.673305509325469,0.8204239001274141,0.042179226838422554,-1.7689936362878258,-1.2222884554971614,-3.872239481300781,0.07498720561360556,5999.3,CD8-
E21_1,exposed,medium-exposed,-0.0974815807245817,-0.5136874582344986,0.6842686771585413,-0.013669666254227454,-0.7360599554533044,-0.9433188844679856,0.7037627111707154,-0.09153364413458548,5419.5,CD8+
E24_1,exposed,medium-exposed,0.5448605245282299,0.6417197000824113,1.8874831883867966,0.5038038746402062,-0.6171805866890102,-0.7349589963321467,0.7216757273409469,-0.40109655793514104,4486.4,CD8+
F5_1,exposed,medium-exposed,0.3413755678397308,1.1236462067903217,0.9832350739096521,0.2674845771982699,-0.5949569028241084,-1.14701866021107,0.5747454604956603,-0.8174707712513045,3479.5,CD8+
F6_1,exposed,medium-exposed,0.4694376864924895,1.6709548475675848,1.6337922559143354,0.06661658384328432,-0.8780994679727686,-1.1796850307203746,0.38594735184202145,-0.607216607927024,3956.0,CD8+
F7_1,exposed,medium-exposed,0.6272862984558263,0.9767852820958607,1.0556388252350815,1.3968959639285023,-0.560365931906037,-0.9772130314430143,-0.8723782179343937,-0.17822020847170844,5140.2,CD8+
F9_1,exposed,medium-exposed,0.04249576048780479,1.5956545410429883,0.6003053725880392,0.22219238618432274,-1.6603934299860719,-0.9931978188283522,-1.5200604241802473,-0.4403433012336288,4380.2,CD8-
F10_1,exposed,medium-exposed,-0.39320799625353137,1.1921041451839054,-0.7624148786035855,-0.28979578517015675,-1.2736015941641095,-0.9461604064708198,-0.7721125221833414,-0.5428603999279038,4114.5,CD8+
F12_1,exposed,medium-exposed,-0.21915634642708076,-1.413980753429517,0.3736114149674137,0.3955252005227688,-0.7526356599072392,-0.9521378096338985,1.09027145396165,0.19628105145168814,6460.299999999999,CD8+
F13_1,exposed,medium-exposed,0.47358661378018163,0.09842277482354245,0.6654958993274955,1.020866408676566,0.14581641777192006,-0.9589229365856257,1.5941705612314239,0.4226531083652424,7417.5,CD8+
F14_1,exposed,medium-exposed,-0.15502811940156294,-2.088147130900647,0.4791277908415366,0.9119920723801681,-0.6922757690530115,-0.5758548741293738,-0.06241420788098406,-0.6150204585797541,3937.2,CD8+
F15_1,exposed,medium-exposed,0.22023928694571604,2.1053000640437713,0.8709113908120625,-0.17913291064201642,-1.1406123772505161,-0.9974533693180869,0.4843557566611434,-0.47016021450126855,4301.2,CD8+
F17_1,exposed,medium-exposed,0.5460006396816468,0.2247150136201741,1.1700434941097577,1.3060904982403103,-0.4340703514347887,-0.9376834867465266,1.7271788557341536,0.47773350328791236,7671.1,CD8+
F18_1,exposed,medium-exposed,-0.16478649377536708,-0.3098237271495221,0.21269937055769855,1.183642724007245,-1.8597911118378627,-1.3440318015188224,-1.1952725458672346,-0.5006073552718099,4222.0,CD8-
F19_1,exposed,medium-exposed,-0.12765835180147048,-0.5411580648362149,-0.10763042116910981,0.27637841288860476,-0.33756449559401003,-1.341528996675392,0.09278977023199386,0.35111540116932327,7100.599999999999,CD8+
F20_1,exposed,medium-exposed,0.03456561257109139,-0.1051434563228606,1.267800608798534,-0.39708213482645227,-0.6660432452757112,-0.8123418588107152,0.5594124996426106,0.015987364051909644,5787.1,CD8+
F21_1,exposed,medium-exposed,0.4633000741106026,-0.5431825300509947,1.7946547970758269,0.631579461227979,-0.22993832598295422,-1.1317949891006753,1.0407756812232445,0.9804815780840387,10426.0,CD8+
F22_1,exposed,medium-exposed,-0.19794316432919595,-1.0330855999656485,0.4235624216682569,0.06731420435236228,-0.6301114323800101,-0.9653753679624457,1.2904716994604164,-0.7349338930378084,3659.3,CD8+
F23_1,exposed,medium-exposed,0.6374280854009863,-0.7290733040302706,1.9256107476592532,1.507167145241636,-0.422553927654007,-1.2825398751507453,0.4303115489904638,0.5377075549620123,7957.099999999999,CD8+
F24_1,exposed,medium-exposed,-0.3854967677864978,0.7847596900834771,-0.6297124737335262,0.12352296777274532,-1.5314829195276667,-0.9089682960880607,-3.570067080173943,-0.2514837148267227,4915.4,CD8-
G2_1,exposed,medium-exposed,0.0791154324908862,0.4103650817228556,-0.15427538532796845,0.8293449979487459,-0.6178107488517582,-0.8552839861316043,0.11080243776940513,-1.2239998492292865,2714.8,CD8-
G4_1,exposed,medium-exposed,-0.03645192384420898,-1.2131506425990723,0.9185992741520285,0.5876828719088169,-0.8858157657604077,-0.8641050901819893,0.2526994913881845,-0.3993082277348127,4491.3,CD8+
G7_1,exposed,medium-exposed,-0.08471351475908165,-0.589066943279495,0.3482215274693394,0.03610255299713214,-0.3511000878385182,-1.00735141807636,-0.5618014360133983,0.1485220783843073,6274.7,CD8-
G8_1,exposed,medium-exposed,-0.2661606029620183,-1.114172770861893,0.11691007448505329,0.29379204748679616,-0.7715888087206294,-0.9106330707092324,1.2825348429119103,-0.23463891745029164,4966.200000000001,CD8+
