gene,M,Sp,R,S,n_cells,n_guides
CDKN2A,11.339812278747559,0.10615377873182297,0.08218908280048892,0.4948156774044037,394,3
CDKN2B,12.65211009979248,0.11579416692256927,0.1921957978379988,0.667104184627533,413,3
CGAS,13.280967712402344,0.12245503813028336,0.286633193179987,0.3305683135986328,307,3
CHCHD2,14.739089012145996,0.13944832980632782,-0.08169851217983519,0.6367446184158325,422,3
CITED1,14.072593688964844,0.1308525800704956,-0.0795291595134559,0.5173534750938416,418,3
CKS1B,16.572616577148438,0.15261143445968628,-0.07922079546784379,0.7216241359710693,409,3
CMSS1,12.61322021484375,0.11680120974779129,0.05117289725712326,0.4743572771549225,399,3
CORO1A,15.1842622756958,0.14070692658424377,-0.10785141351081269,0.7499755024909973,372,3
CSPG4,11.663307189941406,0.11152473092079163,-0.02978651938235315,0.6042522192001343,465,3
CST3,16.072511672973633,0.14484287798404694,-0.03916067939188659,0.6299635171890259,273,3
CTPS1,15.808149337768555,0.13863101601600647,0.3279275648483504,0.06391522288322449,189,3
CTSA,12.714607238769531,0.11785177141427994,0.07804431530977174,0.4463725984096527,366,3
CTSB,13.996728897094727,0.1290152221918106,-0.04739252308915617,0.6903691291809082,433,3
CTSD,11.922731399536133,0.11267876625061035,0.09599527006381244,0.6123945116996765,478,3
CTSL,14.187061309814453,0.13096322119235992,0.032157390058965764,0.5398814082145691,355,3
CTSO,13.733424186706543,0.13065959513187408,-0.05117633544255253,0.5107882022857666,422,3
CXCR4,14.098088264465332,0.13243873417377472,-0.031499850504700604,0.5501977801322937,337,3
CYP27A1,11.637022018432617,0.10568603873252869,0.14338152368429544,0.5347315669059753,354,3
DAG1,11.128691673278809,0.10093464702367783,0.16350929604561676,0.44272202253341675,322,3
DDR1,14.939939498901367,0.13804878294467926,-0.07875360404617364,0.6019726395606995,376,3
DDX17,15.746269226074219,0.14448437094688416,-0.04232752046958619,0.6011449098587036,307,3
DDX39A,14.482739448547363,0.1322622150182724,0.09418829619525071,0.5270562767982483,248,3
DLL3,13.03477668762207,0.12090461701154709,-0.04943341866330805,0.5956180691719055,371,3
DNMT1,19.018417358398438,0.16765259206295013,0.10675279287856232,0.6009790897369385,140,3
E2F1,20.974531173706055,0.18645717203617096,-0.08050033322196497,0.6021869778633118,257,3
EEA1,14.839642524719238,0.1373223513364792,0.07769922168026472,0.5234662294387817,296,3
EEF1G,20.639474868774414,0.1758127361536026,0.1901793826538394,0.2110530585050583,88,3
EIF3K,17.619647979736328,0.15969374775886536,0.11014464200510872,0.6624781489372253,319,3
EIF4A1,30.973066329956055,0.26213011145591736,,0.5496615171432495,47,1
EMP1,10.7737398147583,0.09671091288328171,0.24122276514310445,0.3049516975879669,378,3
ENPP1,11.544797897338867,0.10608621686697006,0.17719565089783626,0.3761132061481476,351,3
EVA1A,11.845585823059082,0.1092071682214737,0.22152132457369858,0.28312575817108154,312,3
FARSA,36.374229431152344,0.30297958850860596,,0.3149801194667816,30,0
FBL,17.79352569580078,0.15781980752944946,0.128798834552318,0.4507251977920532,136,2
FBXO32,14.070130348205566,0.13135379552841187,-0.05459524331894441,0.6934831142425537,396,3
FGFR1,10.98425006866455,0.10327278822660446,0.09197471741239586,0.5284925103187561,467,3
FKBP4,14.351617813110352,0.13390089571475983,0.05557423725164249,0.5380405187606812,282,3
FMN1,10.945184707641602,0.10545244067907333,0.06736991155906515,0.5370005369186401,421,3
FOS,13.055951118469238,0.11909396201372147,0.17085108328262677,0.5582755208015442,280,3
FOXM1,21.998741149902344,0.19408637285232544,0.10246954878591658,0.45737215876579285,108,3
FRZB,13.096705436706543,0.11768250912427902,0.1616102375955543,0.41771751642227173,254,3
FSTL3,11.991150856018066,0.11410163342952728,0.030259634459926372,0.525614321231842,416,3
FTH1,25.88200569152832,0.22087658941745758,0.2258898754523602,0.4354014992713928,65,2
GAA,11.73864459991455,0.10594838857650757,0.28443794874991224,0.2569016218185425,336,3
GAS5,14.495701789855957,0.13331419229507446,-0.08210952386264478,0.7081922888755798,347,3
GPATCH4,14.532132148742676,0.1328236162662506,0.13647527425445746,0.6282067894935608,260,3
GPI,26.623794555664062,0.2348325550556183,0.30083664022411666,0.36001574993133545,60,3
GPNMB,15.251964569091797,0.1426076740026474,-0.038919617665383016,0.6515443921089172,306,3
GRN,11.864729881286621,0.10792389512062073,0.24488981908046573,0.4324601888656616,333,3
GSEC,15.272428512573242,0.13144588470458984,0.3597565262663362,0.09869827330112457,169,3
GSN,11.585470199584961,0.10790212452411652,0.11311968742525597,0.5128200650215149,359,3
HASPIN,15.045219421386719,0.13661155104637146,0.09444649956335471,0.5875118374824524,205,3
HLA-A,12.11847972869873,0.11319668591022491,0.08733836667726423,0.5211923122406006,387,3
HLA-B,14.03259563446045,0.1256370097398758,0.16836450061880462,0.4510438144207001,223,3
HLA-C,15.401211738586426,0.1393204778432846,0.08267281624385088,0.6380616426467896,257,3
HLA-DRB5,12.215856552124023,0.1142086312174797,0.051038384677936366,0.5188549160957336,408,3
HLA-E,13.145552635192871,0.12083084881305695,0.20612128309501432,0.36232563853263855,292,3
HLA-F,12.72988224029541,0.11726877838373184,0.09336857285130555,0.5318266153335571,350,3
