gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
CNEP1R1,5.036683559417725,0.053841691464185715,0.13279931247234344,0.04244668036699295,80,True,0.6566164154103853
CCNG1,4.989965915679932,0.015828341245651245,-0.10491514205932617,0.34730350971221924,73,True,0.08542713567839197
G6PC3,4.444485664367676,0.007605863269418478,0.007975705899298191,0.3231748044490814,109,False,
CLEC16A,4.715860843658447,0.022213907912373543,-0.0031109617557376623,0.06204525753855705,88,False,
MAP2K2,4.591183185577393,0.012939317151904106,0.1745930016040802,0.6963176727294922,146,False,
TRIM26,4.181779384613037,0.09358608722686768,-0.04133224114775658,0.1853126585483551,121,False,
UQCRH,4.211232662200928,0.06289160996675491,0.03371338173747063,2.1254494190216064,116,False,
AICDA,4.555020332336426,0.10005312412977219,0.028101371601223946,0.0009267290006391704,94,False,
LACC1,3.939574718475342,0.14066031575202942,0.08694420754909515,0.46137917041778564,158,False,
MAPK14,3.88777756690979,0.04602641612291336,0.0010641391854733229,0.2598867118358612,139,False,
RDH14,3.9126203060150146,0.007386223878711462,0.007636177819222212,0.11273188143968582,126,False,
IRF7,4.8780903816223145,0.009557061828672886,-0.03857060894370079,0.4863421320915222,71,True,0.11809045226130653
HLA-F-AS1,4.877804279327393,0.042838238179683685,0.12190112471580505,,100,True,0.6381909547738693
RPS26,5.645833969116211,0.009297475218772888,0.0321030430495739,1.7302767038345337,72,True,0.2412060301507538
TXNDC17,6.435675621032715,0.06010296568274498,0.057602658867836,1.1466888189315796,48,True,0.4857621440536013
TAB2,4.633133411407471,0.000409193045925349,-0.04422168433666229,0.4307577908039093,86,False,
ARAP2,4.492988586425781,0.006209075450897217,-0.0017693187110126019,0.09512724727392197,83,False,
PRKCE,4.8587188720703125,0.01777527667582035,-0.07574466615915298,0.014530991204082966,67,True,0.11641541038525963
TNFRSF14,3.9797587394714355,0.042460959404706955,-0.03425375744700432,0.13399706780910492,121,False,
GSK3B,4.456230640411377,0.027518874034285545,0.0026620603166520596,0.4017549455165863,99,False,
ARPC4-TTLL3,4.930382251739502,0.028733814135193825,-0.0303860604763031,,87,True,0.23115577889447236
GYPE,4.805120944976807,0.05996782332658768,0.006244653835892677,,80,True,0.48827470686767166
NFYC-AS1,4.998032569885254,0.09910288453102112,0.26867422461509705,0.15227001905441284,118,True,0.8676716917922949
CARD6,4.964198589324951,0.038386501371860504,0.0058441502042114735,0.2529773712158203,71,True,0.3693467336683417
PSCA,4.519537448883057,0.029669303447008133,0.044050510972738266,0.0010018276516348124,109,False,
ITGAL,4.749234199523926,0.01580324023962021,-0.09642980992794037,0.0861712396144867,75,True,0.11390284757118928
FADD,5.54294490814209,0.08134841918945312,0.07810162007808685,0.08359600603580475,78,True,0.6323283082077051
