gene,M_prot,S_prot,R_prot,n_cells,S_resid,R_resid,C_prot,C_rna
IRF3,265.3497009277344,0.9604854583740234,0.8941392865769574,400,-34.95673343565801,-38.467400136719505,0.0975609756097561,0.315126050420168
ITGA3,187.83160400390625,0.9612873196601868,0.9178278411108245,400,-3.547697050212186,5.146354361481201,0.516260162601626,
JAK1,196.8780975341797,0.9186242818832397,0.41333984133485585,400,-40.75516890018188,-19.874553404444683,0.17073170731707318,0.915966386554622
JAK2,300.10394287109375,0.9498845934867859,0.9045600048709717,400,-72.07767215694369,-53.42310817608441,0.03252032520325203,0.8571428571428572
KCNN4,182.1138458251953,0.9509308934211731,0.9057775654681706,400,-22.3402252002425,6.1672621274070885,0.42276422764227645,
KDR,190.20895385742188,0.9460867643356323,0.1766308842971124,400,-33.38053810733773,-19.15130721904788,0.2032520325203252,
KLF4,182.32196044921875,0.9536357522010803,0.9377668112088542,400,-18.798435464523884,15.592846732274818,0.5,
LAMP2,180.0752716064453,0.9606027603149414,0.9699048488873906,400,-0.965594407398342,37.890508312803895,0.7195121951219512,
LCP1,284.0315246582031,0.9679332375526428,0.9888042064651086,400,-8.662728457004306,22.618707355767356,0.6219512195121951,
LEF1-AS1,188.27001953125,0.9499741196632385,-0.17193591798037222,400,-28.00590731449357,-23.42806103365107,0.1991869918699187,
LGALS3,190.12274169921875,0.9533100724220276,0.8968774788100172,400,-23.464117578774953,-2.002476428783339,0.34552845528455284,
LGALS3BP,205.15638732910156,0.961689293384552,0.9916009376952174,400,-7.046220221588797,73.25336961989396,0.7398373983739838,
LRPAP1,212.73764038085938,0.961448609828949,-0.30596775291832806,400,-11.25369207155849,-36.767538146031924,0.24796747967479676,
LRRC75A-AS1,294.7583923339844,0.969719409942627,0.979233340623082,400,-1.2448310998181569,-6.125446595555331,0.44715447154471544,0.5966386554621849
LY96,225.56338500976562,0.9630165696144104,0.9721793936211832,400,-8.752215242935101,17.339477112380848,0.5853658536585367,
MDH2,225.6537628173828,0.9609711766242981,0.9704069583696295,400,-19.210425507216485,14.765061717248571,0.483739837398374,0.6428571428571428
MIA,206.7887725830078,0.9601724147796631,0.06788456088436506,400,-15.962640750151564,-26.895461170370574,0.27235772357723576,
NACA,315.6109924316406,0.962833821773529,0.9912441840575131,95,-41.910513214069226,19.279230243386507,0.41056910569105687,0.7142857142857143
NDUFA13,280.8169860839844,0.9547930359840393,0.9808183942171237,359,-54.371677135597395,5.4907843314287135,0.3048780487804878,0.7142857142857143
NGFR,173.07533264160156,0.9702098965644836,-0.3488867663068637,400,50.950826121164425,-25.960660896931564,0.5731707317073171,
NME1,221.27920532226562,0.9738451838493347,0.9899996618715486,400,54.62241554990905,57.06272329777765,0.967479674796748,
NMRK1,223.56529235839844,0.9497884511947632,0.9962687228989892,400,-43.29400497865372,71.91389250751311,0.5284552845528455,
NONO,203.64915466308594,0.9437726140022278,0.956656836342419,400,-38.12979969302603,15.402200410158507,0.3902439024390244,0.7815126050420168
NPC2,291.7774963378906,0.970718502998352,0.9881497180262765,400,8.129799693026001,16.597799589841486,0.6544715447154472,
