gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
TTLL1,0.3097901291748563,0.12250312169288548,0.007692563442913987,265,9.07756805419922,0.11145481467247,,False,False
TXNDC17,0.3159649785796617,0.3595002413800515,-0.07062993555506188,215,12.88943862915039,0.1690834611654281,0.8403361344537815,True,False
TYR,0.1698992373877699,0.5609324509342986,0.019621578748714136,265,10.12344741821289,0.0843530371785163,0.3193277310924369,True,False
UBC,0.27917469097109987,0.28416695092444205,0.045425680459212726,95,13.28486156463623,0.2686262428760528,0.7605042016806722,True,False
UCN2,0.28095279809101753,0.24958165334765006,-0.028529849578778504,193,10.49649429321289,0.1726619005203247,0.6176470588235294,True,False
UQCRFS1,0.2603646103367248,0.023322587842666467,-0.03534240277720587,111,11.94736671447754,0.0293251555413007,0.4159663865546218,True,False
UQCRH,0.30386076533796563,0.23892718490625442,-0.05174953971019355,77,12.955594062805176,0.1097963452339172,0.4621848739495798,True,False
VAT1,0.16536613061106975,0.08359923537093562,0.03392947968056396,154,10.79423999786377,0.162976861000061,0.7058823529411765,True,False
VDAC2,0.2013748781835575,0.2964710762069604,-0.021782151958103513,223,10.232142448425291,0.1704534888267517,0.5840336134453782,True,False
WBP2,0.24585658795708937,0.12841689839095793,0.011121029410952906,255,9.697089195251465,0.1909927278757095,0.8151260504201681,True,False
WNT7A,0.11523043221134292,0.2429384462573458,0.017882174791723753,267,8.96205997467041,0.1725263446569442,,False,False
XAGE1A,0.1879665231095853,0.5393960175868937,0.023451934391293523,160,10.83144760131836,0.1054577678442001,0.5042016806722689,True,False
