gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
CTPS1,0.32058886017106636,0.5035446920722197,-0.05100567307291026,189,12.238324165344238,0.092012770473957,0.6512605042016807,True,False
CTSA,0.1436194895901618,0.39796479158749837,0.017252978259593488,366,8.112677574157715,0.042050190269947,,False,False
CTSB,0.17228555311688498,0.17690662801689375,0.024982498837287242,433,8.770360946655273,0.1044922396540641,,False,False
CTSD,0.1054984386103532,0.18691952170081305,0.008195887679382174,478,8.937463760375977,0.1188579201698303,,False,False
CTSL,0.1242520600737013,0.21048045964755777,0.02252706960927812,355,9.103705406188965,0.0737198293209075,,False,False
CTSO,0.14158167645453176,0.021577108603037937,0.029635599938904373,422,8.032450675964355,0.1274832934141159,,False,False
CXCR4,0.12323141762925015,0.3175268045172523,0.030951832885011948,337,10.18675708770752,0.1727202832698822,0.4831932773109244,True,False
CYP27A1,0.18828288868636697,0.31892077655001555,-0.012622772527064377,354,8.198018074035645,0.1157169565558433,,False,False
DAG1,0.22473075495937692,0.5672304637656742,-0.03844359154029905,322,7.919214248657227,0.0408934466540813,,False,False
DDR1,0.21033453080935013,0.19493408827168998,0.03984461511576968,376,9.572555541992188,0.0660972744226455,0.315126050420168,True,False
DDX17,0.19771886565104044,0.24541137352112755,0.03898212503065431,307,11.160561561584473,0.0819401368498802,0.2436974789915966,True,False
DDX39A,0.16108061672300827,0.318066611139253,0.028378519857722957,248,9.422802925109863,0.0831783786416053,,False,False
DLL3,0.1681628342969526,0.0734134801176116,0.024098733465469573,371,9.01966667175293,0.0692366138100624,,False,False
DNMT1,0.43222468846718526,0.7356000567992097,-0.14108736872771474,140,11.593328475952148,0.1517258733510971,0.6134453781512605,True,False
E2F1,0.36179326435547626,0.5013287066105764,0.0964185671886657,257,12.70299243927002,0.1632864326238632,0.3571428571428571,True,False
EEA1,0.1849765548122514,0.19792648713141836,0.002711796767108902,296,8.943164825439453,0.1659580618143081,,False,False
EEF1G,0.420768485290813,0.5091012579856068,-0.17339484246690107,88,14.634819984436035,0.1707996428012848,0.6596638655462185,True,False
EIF3K,0.3452191185938646,0.14127899164421648,0.0355529477577465,319,12.952829360961914,0.146660104393959,0.6890756302521008,True,False
EIF4A1,0.45431028487759545,0.04270645433230577,0.0770477022557593,47,18.752416610717773,0.1545192301273346,0.5588235294117647,True,False
EMP1,0.147047486981783,0.3370045705768436,0.04514296570151314,378,8.020859718322754,0.1375913619995117,,False,False
ENPP1,0.14458026654508405,0.015053253923852573,0.007233019783117116,351,7.794008731842041,0.0402007400989532,,False,False
EVA1A,0.15477436987488877,0.01341324379590802,0.030523444438587084,312,7.797768592834473,0.2350062727928161,,False,False
FARSA,0.45911062069245107,0.4612782182606217,-0.09198846571930204,30,36.37423324584961,0.0981282815337181,0.3529411764705882,True,False
FBL,0.18741523903529902,0.0025064575318867028,-0.015166958628177149,136,12.027812957763672,0.0564887784421443,0.2605042016806723,True,False
FBXO32,0.1432856382912977,0.24613176689515662,0.02235705445331811,396,9.457643508911133,0.0370722487568855,0.3067226890756303,True,False
FGFR1,0.1478536241283675,0.1974990108758579,0.03148380856350023,467,7.001107692718506,0.0142429284751415,,False,False
FKBP4,0.17646090414069585,0.047019877237386855,0.0193504378649072,282,9.37960720062256,0.1132756397128105,,False,False
FMN1,0.1488978536151919,0.11151868572182563,-0.0005361369226419832,421,8.6387300491333,0.0016004781937226,,False,False
FOS,0.1699100534064468,0.17041758134008347,0.022642802152050168,280,8.6183500289917,0.006271069869399,,False,False
FOXM1,0.288037896511469,0.41996111866470937,0.04830343653286273,108,13.278176307678224,0.1939637064933776,0.5294117647058824,True,False
FRZB,0.1647150969911114,0.0042124002566145255,-0.018967806796137854,254,8.81596851348877,0.0603566989302635,,False,False
FSTL3,0.11776275803567827,0.17093534342327296,-0.0051831727208041896,416,6.899288654327393,0.134280651807785,,False,False
FTH1,0.3748360215869788,0.4420288086499379,0.08048223319494703,65,21.48016929626465,0.1407333612442016,0.6554621848739496,True,False
GAA,0.16556017329197006,0.38411825272576805,0.058412323165580204,336,8.14971923828125,0.0030262053478509,,False,False
GAS5,0.19005276307774355,0.20504411424838084,0.024077629891866865,347,8.747709274291992,0.0629252344369888,,False,False
GPATCH4,0.17714126713983097,0.24493892480329163,0.021133468916223364,260,10.296358108520508,0.1157531440258026,0.4831932773109244,True,False
GPI,0.7253258717652684,0.497704167523699,-0.06962309528579391,60,17.872638702392578,0.1239520460367202,0.5714285714285714,True,False
GPNMB,0.18932323634668918,0.004323126853742897,0.0351529798340929,306,9.885640144348145,0.0051945294253528,0.2563025210084033,True,False
GRN,0.11737269193180062,0.19166691902571345,0.016201225379727274,333,8.425168991088867,0.0392200723290443,,False,False
GSEC,0.3125588073892626,0.28096267579024914,-0.03144096001492791,169,10.566262245178224,0.0952128544449806,0.4621848739495798,True,False
GSN,0.16832654031763167,0.26215928793766863,0.010007121342658168,359,7.650533676147461,0.0460251048207283,,False,False
HASPIN,0.16614722029693468,0.31974077519878774,-0.009696021328065277,205,9.126675605773926,0.0374198369681835,,False,False
HLA-A,0.1894350879383374,0.028757338758292963,-0.04178996025720805,387,7.663946151733398,0.0041782264597713,,False,True
HLA-B,0.32244541178098934,0.14944342569659724,-0.09751215594389977,223,10.623641967773438,0.0656810775399208,0.2605042016806723,True,True
HLA-C,0.3237465733735995,0.017567931195994483,-0.08317211684335257,257,8.654647827148438,0.0915238559246063,,False,True
HLA-DRB5,0.1376109705729349,0.20028869085976422,0.025382529442101103,408,8.861662864685059,0.0078928600996732,,False,False
HLA-E,0.2292489384563626,0.302173465675445,0.011967288600235252,292,9.464442253112791,0.099115565419197,0.5336134453781513,True,True
HLA-F,0.1293166759995098,0.07662068483478625,-0.01613153782610081,350,7.744361400604248,0.1792688220739364,,False,False
HLA-H,0.17723967615152386,0.17141316302316129,0.046962925440426205,336,8.874093055725098,0.1909890919923782,,False,False
HNRNPA1,0.1893339694582671,0.23187573289495084,-0.019481262948563227,243,9.921031951904297,0.089225597679615,0.6932773109243697,True,False
HNRNPC,0.23216370571787628,0.2664511366494336,0.021059788448461125,96,12.96017837524414,0.1416961997747421,0.5672268907563025,True,False
