gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
TP53,9.103888511657715,0.0022396075073629618,0.4772662488927288,0,0.1191868931055069,184,3,False,,,
TPP1,8.70814037322998,0.13204099237918854,0.3952526163030529,0,0.6878983378410339,187,3,False,,,
TPRKB,18.8471622467041,0.016357421875,0.5306102458214227,2,3.691746950149536,57,3,True,-56.179810568295096,37.27068793619141,0.4369747899159664
TRIM22,10.378462791442871,0.19174978137016296,0.4522471717143597,0,0.3477077782154083,150,3,True,39.00482837202677,44.41076769690925,0.865546218487395
TSC22D3,8.537908554077148,0.35998064279556274,0.44179609233642797,0,0.26242026686668396,227,3,False,,,
TTLL1,9.077568054199219,0.11145481467247009,0.3333277527141914,0,0.0764889046549797,224,3,False,,,
TXNDC17,12.88943862915039,0.16908346116542816,0.6450976272694332,2,4.5739545822143555,166,3,True,21.828236718416186,53.28863409770686,0.8403361344537815
TYR,10.12344741821289,0.08435303717851639,0.06297302618898755,0,0.7160598635673523,221,3,True,-11.659692351516888,-26.184446660019965,0.31932773109243695
UBC,13.28486156463623,0.26862624287605286,0.41330943507832135,0,7.236730575561523,75,3,True,43.49275744195984,16.88384845463608,0.7605042016806722
UCN2,10.49649429321289,0.1726619005203247,0.28740167614213136,0,0.15300820767879486,157,3,True,32.67095855291269,-10.190428713858452,0.6176470588235294
UQCRFS1,11.947366714477539,0.029325155541300774,0.410361594842333,1,5.023189067840576,99,3,True,-42.836284005127474,20.693419740777642,0.4159663865546218
UQCRH,12.955594062805176,0.10979634523391724,0.34927159053603013,1,6.832310676574707,72,3,True,-2.5056331006979065,-8.312562313060837,0.46218487394957986
VAT1,10.79423999786377,0.16297686100006104,0.3980258950665702,1,2.614053249359131,141,3,True,24.836284005127467,19.306580259222308,0.7058823529411765
VDAC2,10.232142448425293,0.1704534888267517,0.24693965224401834,1,4.874546051025391,198,3,True,29.672568010254942,-11.386839481555356,0.5840336134453782
WBP2,9.697089195251465,0.19099272787570953,0.3979341327117041,0,1.7098761796951294,201,3,True,42.345136020509884,28.226321036889303,0.8151260504201681
WNT7A,8.96205997467041,0.17252634465694427,0.42525670724326076,0,0.0002120279095834121,202,3,False,,,
XAGE1A,10.83144760131836,0.10545776784420013,0.3182845590930036,0,0.005601543467491865,134,3,True,-0.4975858139866176,-1.2946161515453838,0.5042016806722689
