gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
NME1,8.499543190002441,0.11750917881727219,0.43440928117242494,0,6.280654430389404,208,3,False,,,
NMRK1,8.473922729492188,0.09393640607595444,0.4258645571257585,0,0.6991551518440247,251,3,False,,,
NOLC1,11.85874080657959,0.041201818734407425,0.3034149726551984,0,2.13462233543396,96,3,True,-38.66934909557043,-11.005982053838508,0.2941176470588235
NONO,10.546581268310547,0.11655662208795547,0.5607667016416892,2,3.4807934761047363,203,3,True,8.504023643355637,61.508973080757706,0.7815126050420168
NPC1,11.409499168395996,0.0008712586713954806,0.3912798525496144,0,1.1956764459609985,267,3,True,-59.66773963822817,12.797607178464588,0.3277310924369748
NPC2,8.3639497756958,0.1624397486448288,0.4492355290563752,1,4.896434783935547,241,3,False,,,
NSG1,8.33530330657959,0.19234684109687805,0.35039950530153097,0,0.09516036510467529,233,3,False,,,
NT5E,6.955708980560303,0.09878303855657578,0.4406785694377647,0,1.598304271697998,301,3,False,,,
NUP50-AS1,8.816751480102539,0.3454151749610901,0.4571486427222382,0,0.7160598635673523,229,3,False,,,
P2RX4,11.568887710571289,0.05446276068687439,0.2981092322790278,0,0.2057977318763733,107,3,True,-34.168544366899305,-14.10418743768696,0.3025210084033613
PABPC1,16.038198471069336,0.059320300817489624,0.45723172729555367,0,5.759490013122559,75,3,True,-35.677396382281714,28.976071784646052,0.48739495798319327
PAICS,13.884371757507324,0.14928564429283142,0.427651157837011,1,4.178534030914307,76,3,True,14.158887622845754,22.28265204386838,0.680672268907563
PET100,12.673728942871094,0.2902819812297821,0.3992845203630226,0,1.8670880794525146,107,3,True,49.16210653753027,11.88983050847456,0.7773109243697479
PFDN4,8.338471412658691,0.02282879315316677,0.4772627707318673,0,4.838434219360352,239,3,False,,,
PFN1,12.337449073791504,0.1818896234035492,0.299178348639134,0,7.2348785400390625,110,3,True,30.495976356644356,-13.508973080757755,0.5798319327731092
PIK3IP1,9.153336524963379,0.14201538264751434,0.4760904799763806,0,0.006336636375635862,201,3,False,,,
