gene,out_degree,in_degree,pagerank,hub,two_hop_reach,reach_ratio
GOLT1B,25.0,53.0,0.00011224902102355307,7.913641583215877e-05,766,29.46153846153846
GON7,3.0,48.0,0.0002641977174395462,3.38884204266355e-06,4,1.0
GOPC,2.0,22.0,7.503278379150663e-05,1.9536705489515423e-06,15,5.0
GORAB,1.0,13.0,0.00013345792838303128,6.284951077097982e-07,0,0.0
GORASP1,3.0,11.0,9.570409017010432e-05,6.131193633682615e-06,7,1.75
GORASP2,11.0,56.0,8.75442974937393e-05,2.008437833254042e-05,142,11.833333333333334
GOSR1,3.0,17.0,6.448265189236216e-05,6.321127657919669e-06,348,87.0
GOT1,0.0,78.0,0.00014353827358229584,-0.0,0,0.0
GOT2,3.0,135.0,9.340959808452263e-05,5.867751449953792e-06,3,0.75
GP5,0.0,26.0,0.00011097920906610981,-0.0,0,0.0
GPAA1,1.0,54.0,7.394785547610036e-05,1.4762094439235401e-06,15,7.5
GPALPP1,100.0,8.0,4.7402007690147765e-05,0.0003317035689070216,3738,37.00990099009901
GPAM,0.0,6.0,4.726521634080166e-05,-0.0,0,0.0
GPANK1,3.0,16.0,5.3379803883551955e-05,2.9159547274428355e-06,3,0.75
GPAT2,11.0,3.0,4.679749541196947e-05,1.8093528869720693e-05,915,76.25
GPAT3,2.0,106.0,0.00010882172810418577,5.4064215143298485e-06,685,228.33333333333334
GPAT4,0.0,56.0,0.00021526337101833798,-0.0,0,0.0
