gene,ISCI_orthogonal,ISCI_primary_rank,known_regulator,NR_Treg,NR_exhaustion,R_memory_stem,R_migration,R_killing,toxicity_infl,therapeutic_convergence,n_modules_therapeutic
MRPL52,0.4922619047619047,674.0,False,-0.08124081686341666,-0.5797707831091016,0.4685170583475271,0.43615245088647087,0.2899607729196011,-0.2735079950956294,0.3548583128702911,6
LAGE3,0.4918650793650793,675.0,False,1.331015732359789,-0.06346167822560163,-1.1007377475196607,-0.4690316608109956,0.5105553234716873,-1.0781506422625344,-0.20810291612177034,3
RCC1L,0.4904761904761904,676.0,False,0.9474004016879854,0.08682204006933625,0.754886720356413,0.7351440069950596,-1.077951638720289,-0.6608145964592174,0.006445207222179876,3
TATDN2,0.489484126984127,677.0,False,0.059524387676739766,-0.0573783734308568,-0.20983258926895015,-0.13243380319700693,0.3984775418941302,-0.5816191650844299,0.10594738337778668,3
WARS2,0.4888888888888889,678.0,False,0.4397723585883697,-0.6503859155800383,1.833038091377152,1.0118859641639821,-1.5308297023558584,-0.4312163961588249,0.32598738438929487,4
COX15,0.4882936507936508,679.0,False,-0.16627063585306678,-0.4552358140587394,0.17286075811282808,0.5045453603511144,-0.681005648694699,-0.5153827894425886,0.18888161818727303,5
ELOC,0.4878968253968254,680.0,False,0.4245112356345068,0.6977175391224382,-0.9389410443140487,-0.5845367421855828,1.3455485957174858,0.5082605718544337,-0.3014030895655874,1
UBE2N,0.4876984126984127,681.0,False,-0.19662662473146408,0.10136422459960426,-0.06753946823094384,-0.7090492590785165,0.01817338001521292,-1.6246211004152098,0.16024469220880372,3
XRCC2,0.4873015873015872,682.0,False,-0.38057771714757965,0.1133389480912856,1.097863675288481,0.3550172587393775,2.6356039087314076,-1.5889650818413228,0.9907814489428138,5
TENT2,0.4863095238095238,683.0,False,-0.07941620091864839,0.8645450589641818,-0.18545712107107232,0.6416325669371272,0.5608273121994537,-1.2130253912211328,0.24081654854018467,4
ZNF142,0.485515873015873,684.0,False,0.2136612882308689,0.6714737843618458,1.0474944126448973,0.21884132944489118,-0.02847237247679661,-0.5555927341768159,0.15138683853284884,3
RBSN,0.4853174603174602,685.0,False,-0.9575603793481433,-0.902689063291953,1.441191087747621,0.6307470847615503,0.5952733972459797,-0.2691443088222118,0.7994342202029099,6
GLS,0.4837301587301587,686.0,False,-0.14543465246062576,0.84412598738076,1.1150697405723926,-1.0153810846331837,0.7800170859919963,0.3853827297666079,-0.03406138712592282,3
TBCA,0.4837301587301587,687.0,False,0.19039473345689673,0.8773543644986684,0.5422941465936316,0.11013149379953989,-0.0047807999218273944,-0.27096984054483086,-0.024855736156565018,3
XRRA1,0.483531746031746,688.0,False,-0.5610477440409171,-0.9640208732313577,1.298577469028266,0.19786725881251785,-0.5071844477866924,-0.9679493690002033,0.5803797110544283,5
ARPC3,0.4833333333333333,689.0,False,1.1786253696886178,1.7078649396886856,1.191429465405942,-0.05674508821550463,2.3341322952284185,-0.5277601295651821,0.18501441543445582,3
GET3,0.4827380952380952,690.0,False,-1.5196542746705828,-0.5927799325530202,0.0522571310612337,0.10648673549798549,-1.2223112202222663,1.7587207119244128,-0.11830897639397615,4
GNS,0.4827380952380952,690.0,False,0.1304274845023881,1.0030677378345532,-0.881295126481592,-0.38689975642523844,0.6476694461613576,-0.013665504792949645,-0.2900591923815774,2
C11orf68,0.4827380952380952,692.0,False,0.46755309676463624,0.32624307357510385,0.6079836789101912,0.51613461813961,-0.5699512755751707,0.02676775147421029,-0.04439948338988661,2
ICOS,0.4825396825396825,693.0,True,1.6764289137047748,1.6807148888033276,-0.38124908698958837,0.2509360860037373,1.4688034599864848,-0.2062210872475161,-0.3020720427099921,3
HP1BP3,0.4819444444444444,694.0,False,-0.4759539608180407,-0.21767970331205636,-0.9652156071386622,-0.05216930899395579,-0.39124797015185414,-0.1396913194238475,-0.09588465045508793,3
COX6C,0.4813492063492063,695.0,False,0.1779106319299675,0.5814444965306189,0.9187861423681518,-0.667240111821475,0.25073618898868655,-2.542077708242067,0.380834133219474,3
MRPS9,0.4811507936507936,696.0,False,-0.4281411465568909,-0.7724711434662632,1.3018393565509399,0.5639730802043438,-1.2837878559276688,-2.3234060512946986,0.6843404870242447,5
TRRAP,0.4807539682539682,697.0,False,-0.8526929648626822,0.49979818758331634,0.7833923636982966,-0.8250001055266017,0.3441730587615108,1.4213327960567534,-0.12764545030736366,3
USP13,0.4805555555555555,698.0,False,-0.6158277603246199,-0.47516619122034937,-0.2506255688899642,-0.08384050361635051,0.1589012529434317,0.08040311241230794,0.13917100326162973,3
