gene,magnitude,mag_pct,specificity,coh_donor,spec_resid_pct,coh_resid_pct,ISCI_orthogonal,ISCI_combined,ISCI_combined_rank,detectable_effect,ISCI_primary_rank,known_regulator,clinical_controller
TRIM39,43.666666666666664,0.3255952380952381,0.022323932521385852,0.6471605449757155,0.2575396825396825,0.37777777777777777,0.31765873015873014,0.3164119443017283,1663,False,,False,False
ZDHHC3,54.0,0.38492063492063494,0.01983584608939118,0.6980441475369497,0.1757936507936508,0.4587301587301587,0.31726190476190474,0.3142755227237976,1671,False,,False,False
FAM83F,83.0,0.4978174603174603,0.01931163522522426,0.7159636820225014,0.14206349206349206,0.49087301587301585,0.31646825396825395,0.32621750104171454,1631,False,,False,False
LRR1,56.0,0.3984126984126984,0.032942327369269685,-0.0970558110005073,0.6055555555555555,0.02738095238095238,0.31646825396825395,0.18763415896670632,2201,False,,False,False
SPHK1,43.333333333333336,0.32222222222222224,0.027950953903780364,0.3966493412870693,0.4623015873015873,0.16984126984126985,0.31607142857142856,0.293567540101542,1764,False,,False,False
MRPS14,37.333333333333336,0.2779761904761905,0.018261045939848772,0.7034695882731093,0.1496031746031746,0.48214285714285715,0.31587301587301586,0.27166981174374344,1864,False,,False,False
ZWINT,75.0,0.471031746031746,0.027970969538965735,0.46785329533135894,0.4373015873015873,0.19365079365079366,0.31547619047619047,0.34167785949608676,1571,False,,False,False
U2SURP,31.0,0.22341269841269842,0.014596771100131509,0.7305410366944618,0.08174603174603175,0.5484126984126985,0.3150793650793651,0.2155562792862316,2090,False,,False,False
HOXD13,13.333333333333334,0.013888888888888888,0.02309066286398842,0.5439739222032262,0.3464285714285714,0.28293650793650793,0.3146825396825397,0.11082984653050364,2420,False,,False,False
SPON1,13.666666666666666,0.016666666666666666,0.023959505137704347,0.5176695078434131,0.3682539682539683,0.25873015873015875,0.3134920634920635,0.11666692376062347,2404,False,,False,False
BEND3,24.333333333333332,0.14087301587301587,0.023417180811900626,0.5690661197085181,0.3325396825396825,0.2920634920634921,0.3123015873015873,0.23917522318415754,1999,False,,False,False
SARNP,48.0,0.35138888888888886,0.0173466938966088,0.7188908164624431,0.11428571428571428,0.5087301587301587,0.3115079365079365,0.27337312586394186,1858,False,,False,False
TXNDC12,16.666666666666668,0.04742063492063492,0.028820489634604093,0.036582109260736,0.5416666666666666,0.08055555555555556,0.3111111111111111,0.12742803635238004,2374,False,,False,False
RAD51D,23.0,0.12182539682539682,0.028390511513708923,0.1609522421143832,0.5142857142857142,0.10753968253968255,0.3109126984126984,0.18887320437582514,2193,False,,False,False
SIRT6,17.333333333333332,0.054563492063492064,0.025354454983264725,0.4357477090413368,0.4087301587301587,0.20793650793650795,0.30833333333333335,0.1667592228470459,2263,False,,False,False
GPR146,47.333333333333336,0.3472222222222222,0.01470358583663557,0.7338217152141866,0.06349206349206349,0.5503968253968254,0.30694444444444446,0.22979167534645764,2035,False,,False,False
ORC6,79.0,0.48115079365079366,0.025546404797084837,0.5637727235912293,0.3523809523809524,0.26071428571428573,0.30654761904761907,0.35357874779685494,1528,False,,False,False
LSM11,51.0,0.36567460317460315,0.024603760356626432,0.5642928577033427,0.3400793650793651,0.2702380952380952,0.3051587301587302,0.3227061313704488,1641,False,,False,False
RBP5,70.33333333333333,0.45436507936507936,0.029434177212993837,0.3074635197536154,0.4781746031746032,0.13055555555555556,0.3043650793650794,0.3049736164336353,1713,False,,False,False
GNPAT,77.0,0.4771825396825397,0.02403499555890911,0.6143495411303537,0.2900793650793651,0.31825396825396823,0.3041666666666667,0.35317644927224695,1531,False,,False,False
HEATR5B,25.333333333333332,0.15376984126984128,0.024648743444771623,0.4912735217003534,0.3757936507936508,0.23134920634920636,0.3035714285714286,0.2373355924036632,2011,False,,False,False
TRAPPC13,45.0,0.3325396825396825,0.018914634894229343,0.6898093685405612,0.1595238095238095,0.44682539682539685,0.3031746031746032,0.2872558928069206,1791,False,,False,False
LYRM2,43.666666666666664,0.3255952380952381,0.026906924933196293,0.4176888497609408,0.4242063492063492,0.18095238095238095,0.30257936507936506,0.2923747321638203,1767,False,,False,False
NEUROD2,59.666666666666664,0.4107142857142857,0.031547947576210114,-0.0017682592032681466,0.5607142857142857,0.040873015873015874,0.3007936507936508,0.21114106346974396,2114,False,,False,False
ANAPC11,13.0,0.010912698412698412,0.028463099245546162,-0.0891118143323585,0.5396825396825397,0.06111111111111111,0.3003968253968254,0.0711317620307109,2498,False,,False,False
MNT,37.333333333333336,0.2779761904761905,0.02704360164896716,0.3545744649208086,0.4380952380952381,0.1619047619047619,0.3,0.2701543207756557,1871,False,,False,False
ZBED1,70.0,0.4523809523809524,0.018594963522502318,0.702530107738478,0.13412698412698412,0.4646825396825397,0.2994047619047619,0.3043632933933192,1716,False,,False,False
ADRM1,21.0,0.09742063492063492,0.024680709955953135,0.4535089691362445,0.38333333333333336,0.2150793650793651,0.29920634920634925,0.20026670958857742,2151,False,,False,False
CRTAP,82.0,0.49107142857142855,0.029453404541666048,0.2864325945326899,0.47579365079365077,0.11984126984126985,0.2978174603174603,0.303661619414303,1720,False,,False,False
NCAM1,50.0,0.360515873015873,0.03191775552646608,-0.2196198421078281,0.5833333333333334,0.011507936507936509,0.2974206349206349,0.13425986741803217,2353,False,,False,False
NSG1,23.333333333333332,0.1261904761904762,0.02934199245415526,-0.0917647244157427,0.5428571428571428,0.051587301587301584,0.2972222222222222,0.1523181474811627,2303,False,,False,False
TNKS1BP1,36.333333333333336,0.26805555555555555,0.024508511109939308,0.524842662661692,0.3515873015873016,0.24166666666666667,0.29662698412698413,0.2834598688458245,1812,False,,False,False
TCEAL2,13.0,0.010912698412698412,0.024888888604412213,0.3804096989598267,0.4031746031746032,0.18888888888888888,0.29603174603174603,0.09401790668945346,2464,False,,False,False
TTF1,65.0,0.4367063492063492,0.03193296581628551,-0.1139592321847959,0.5714285714285714,0.02023809523809524,0.29583333333333334,0.17156961007358368,2249,False,,False,False
MOSMO,76.66666666666667,0.47638888888888886,0.01510259062221337,0.7322505861380426,0.054365079365079366,0.5361111111111111,0.29523809523809524,0.24035075244567286,1992,False,,False,False
SLC22A15,16.0,0.03869047619047619,0.02736998290374215,0.1049860788459907,0.4853174603174603,0.10317460317460317,0.29424603174603176,0.1246620505074177,2381,False,,False,False
ZNF410,23.666666666666668,0.13115079365079366,0.02849858633956365,0.0067621122652942,0.5178571428571429,0.06865079365079366,0.29325396825396827,0.16706115722824033,2261,False,,False,False
CCN1,51.333333333333336,0.3682539682539683,0.019908761566194973,0.6645469803469192,0.18055555555555555,0.4035714285714286,0.2920634920634921,0.2993823785590441,1735,False,,False,False
SLC18A2,16.333333333333332,0.04285714285714286,0.021510892643771623,0.5711722141583322,0.28134920634920635,0.3007936507936508,0.29107142857142854,0.15364291018915402,2299,False,,False,False
TMEM205,61.0,0.41845238095238096,0.028334279696902366,0.27463489933214597,0.4607142857142857,0.12063492063492064,0.29067460317460314,0.2854413729961541,1799,False,,False,False
NPIPB3,16.666666666666668,0.04742063492063492,0.01958644033336825,0.6174714898479094,0.2226190476190476,0.35634920634920636,0.28948412698412695,0.15552557904259312,2292,False,,False,False
NTN5,11.666666666666666,0.003373015873015873,0.02124729750468629,0.560177795325747,0.28095238095238095,0.29404761904761906,0.2875,0.06531650272167959,2503,False,,False,False
ANAPC10,25.333333333333332,0.15376984126984128,0.0259398283287203,0.3161815693086712,0.41785714285714287,0.15674603174603174,0.2873015873015873,0.2159559547621445,2088,False,,False,False
FBXO46,25.333333333333332,0.15376984126984128,0.020365147882682923,0.616848903504167,0.2265873015873016,0.348015873015873,0.2873015873015873,0.22973928337312222,2036,False,,False,False
DNAAF10,56.0,0.3984126984126984,0.030069120483542423,0.04608258401525074,0.5158730158730159,0.057539682539682536,0.28670634920634924,0.22783187361471835,2046,False,,False,False
TPRKB,16.0,0.03869047619047619,0.02550953555416825,0.2821004623138473,0.41904761904761906,0.15198412698412697,0.285515873015873,0.1350688581753922,2351,False,,False,False
DCAF16,60.0,0.4126984126984127,0.03036237558020891,0.013279090010802255,0.5246031746031746,0.046031746031746035,0.2853174603174603,0.21519906848876877,2093,False,,False,False
CIT,54.333333333333336,0.3873015873015873,0.026519956978784686,0.40356843403754944,0.4007936507936508,0.16904761904761906,0.2849206349206349,0.2971618518174405,1741,False,,False,False
KMT5A,18.333333333333332,0.06527777777777778,0.02678262352718459,0.143165109401367,0.4630952380952381,0.10674603174603174,0.2849206349206349,0.14777324332983482,2320,False,,False,False
OGT,36.0,0.2648809523809524,0.022838279757938455,0.5695038414340202,0.2857142857142857,0.2841269841269841,0.2849206349206349,0.2780769910464552,1835,False,,False,False
PYROXD1,37.0,0.2746031746031746,0.01838356028287109,0.667429923948875,0.15396825396825398,0.4146825396825397,0.2843253968253968,0.2597870486312393,1912,False,,False,False
PARK7,36.333333333333336,0.26805555555555555,0.018589227844441256,0.659193355493718,0.1630952380952381,0.4023809523809524,0.28273809523809523,0.2600765343262422,1910,False,,False,False
CLDN5,34.0,0.24821428571428572,0.02941054388989463,-0.0791316236900851,0.5186507936507937,0.044444444444444446,0.28154761904761905,0.17885720262179583,2223,False,,False,False
PBX2,46.666666666666664,0.34325396825396826,0.01398334878379022,0.7187964113586017,0.05277777777777778,0.5079365079365079,0.28035714285714286,0.20955210699281912,2117,False,,False,False
CDADC1,71.0,0.45615079365079364,0.02689448422099928,0.3714001476388791,0.403968253968254,0.15634920634920635,0.28015873015873016,0.30656115079714674,1706,False,,False,False
KLF4,51.666666666666664,0.37083333333333335,0.026478040522644426,0.3584962116758206,0.40436507936507937,0.15515873015873016,0.27976190476190477,0.28548034193150645,1798,False,,False,False
DHX40,30.0,0.21587301587301588,0.016612088278049372,0.68026534277779,0.12063492063492064,0.4384920634920635,0.27956349206349207,0.2251875519521949,2058,False,,False,False
NCOA6,49.666666666666664,0.35833333333333334,0.024109445813972744,0.5303693124860358,0.31865079365079363,0.24047619047619048,0.27956349206349207,0.30168804390292137,1729,False,,False,False
NPC1,18.0,0.0630952380952381,0.01077266868436654,0.6971723384433778,0.0742063492063492,0.4845238095238095,0.27936507936507937,0.13139663928930087,2361,False,,False,False
KIF22,17.666666666666668,0.05952380952380952,0.027277135281005952,0.0287209463650905,0.4785714285714286,0.07936507936507936,0.278968253968254,0.13124687755353964,2362,False,,False,False
BCL6,37.333333333333336,0.2779761904761905,0.021355888308860507,0.5999889292607725,0.2396825396825397,0.31547619047619047,0.2775793650793651,0.27597528775771557,1843,False,,False,False
FPGS,50.333333333333336,0.3628968253968254,0.02175855429179069,0.6042392924185959,0.2384920634920635,0.3138888888888889,0.2761904761904762,0.300615254194468,1733,False,,False,False
RAB24,14.666666666666666,0.02738095238095238,0.023178408782038046,0.4244669003259928,0.34563492063492063,0.20555555555555555,0.2755952380952381,0.12483368604091748,2380,False,,False,False
MDH2,65.0,0.4367063492063492,0.008318432851120695,0.7292441335616374,0.023809523809523808,0.5261904761904762,0.275,0.17620885655484753,2229,False,,False,False
HOXA4,14.333333333333334,0.023809523809523808,0.021780181511922927,0.5128381514393697,0.2968253968253968,0.25277777777777777,0.2748015873015873,0.12133801504172051,2392,False,,False,False
UBXN6,70.0,0.4523809523809524,0.024320097439618608,0.5390490821330627,0.3107142857142857,0.2384920634920635,0.2746031746031746,0.322438199725597,1642,False,,False,False
PRKAR1B,62.333333333333336,0.4248015873015873,0.023696924113336192,0.5631063949634836,0.2849206349206349,0.2634920634920635,0.27420634920634923,0.3171216245633606,1658,False,,False,False
INTS6,65.0,0.4367063492063492,0.023855006400268174,0.5562829711655156,0.29285714285714287,0.25476190476190474,0.27380952380952384,0.3193938907183424,1652,False,,False,False
GALK2,46.0,0.3392857142857143,0.026970544004586827,0.2633048124284771,0.4246031746031746,0.12261904761904761,0.2736111111111111,0.2604367396253929,1907,False,,False,False
FAM110A,17.333333333333332,0.054563492063492064,0.02060826209856313,0.572050668468502,0.24682539682539684,0.3,0.27341269841269844,0.15927138330122342,2285,False,,False,False
DEF6,28.0,0.19047619047619047,0.013454784350850736,0.69613269619389,0.07182539682539682,0.47023809523809523,0.271031746031746,0.18598539728095265,2205,False,,False,False
TTC7A,38.666666666666664,0.2898809523809524,0.018380460632130245,0.6560390593965858,0.15198412698412697,0.3896825396825397,0.2708333333333333,0.25797420725698783,1923,False,,False,False
YBEY,55.333333333333336,0.3950396825396825,0.03001379188724194,-0.1104504013529759,0.5154761904761904,0.025793650793650792,0.2706349206349206,0.17382839353430926,2239,False,,False,False
CISD1,45.666666666666664,0.33670634920634923,0.029769181479598974,-0.1489532457542205,0.5166666666666667,0.023809523809523808,0.2702380952380953,0.1605970214627677,2283,False,,False,False
UXS1,70.33333333333333,0.45436507936507936,0.015395012504697757,0.7073240739913986,0.06111111111111111,0.4753968253968254,0.26825396825396824,0.23633450546412424,2014,False,,False,False
ALG3,46.666666666666664,0.34325396825396826,0.023356338165436995,0.5358194459218953,0.2916666666666667,0.24404761904761904,0.26785714285714285,0.29017432308221114,1777,False,,False,False
GNG11,43.666666666666664,0.3255952380952381,0.028165638108356646,0.0453799474884323,0.47023809523809523,0.0623015873015873,0.26626984126984127,0.2120793198559624,2109,False,,False,False
ARHGEF5,14.666666666666666,0.02738095238095238,0.018292038833500206,0.5974663913072452,0.198015873015873,0.3325396825396825,0.2652777777777778,0.12171123733455108,2390,False,,False,False
SPRING1,45.666666666666664,0.33670634920634923,0.012327539763120622,0.7090006002375216,0.04365079365079365,0.4869047619047619,0.2652777777777778,0.19270626056156295,2176,False,,False,False
DIPK1A,48.0,0.35138888888888886,0.026436033043768868,0.2721489813722741,0.40515873015873016,0.125,0.2650793650793651,0.26108048633524167,1906,False,,False,False
TMEM259,34.666666666666664,0.2521825396825397,0.018623379664343576,0.6323597692851912,0.16746031746031745,0.35833333333333334,0.2628968253968254,0.24734589736253668,1958,False,,False,False
WRN,33.666666666666664,0.24662698412698414,0.02658421980252106,0.164149442406573,0.42738095238095236,0.09761904761904762,0.2625,0.21750209293160935,2083,False,,False,False
STOM,53.333333333333336,0.37916666666666665,0.02663185564917259,0.2599111740228096,0.40595238095238095,0.11785714285714285,0.2619047619047619,0.2627566506889812,1899,False,,False,False
MAP1LC3B,63.333333333333336,0.4297619047619048,0.022148401129736397,0.5834344469028964,0.2373015873015873,0.2853174603174603,0.26130952380952377,0.3075758995827296,1704,False,,False,False
URB2,21.0,0.09742063492063492,0.025405399730108674,0.1816022566894582,0.40555555555555556,0.11626984126984127,0.26091269841269843,0.16623512593640602,2264,False,,False,False
NUDT5,65.0,0.4367063492063492,0.02116658040012223,0.6070963856680043,0.21071428571428572,0.3103174603174603,0.26051587301587303,0.30565387044595943,1709,False,,False,False
CAMTA2,35.0,0.25575396825396823,0.02105890238397833,0.577198109941475,0.23214285714285715,0.28849206349206347,0.2603174603174603,0.2577728611949295,1924,False,,False,False
HPF1,25.0,0.14821428571428572,0.02241738609684772,0.4747942395330556,0.29603174603174603,0.22341269841269842,0.25972222222222224,0.21401558570822438,2099,False,,False,False
VPS26B,76.33333333333333,0.47579365079365077,0.01898720793700522,0.6561888953665223,0.14087301587301587,0.3773809523809524,0.2591269841269841,0.2935455336656141,1765,False,,False,False
ZNF81,22.666666666666668,0.11765873015873016,0.027610625507854435,-0.1847356913843892,0.48095238095238096,0.03611111111111111,0.25853174603174606,0.12689826837049098,2376,False,,False,False
SP3,47.666666666666664,0.3490079365079365,0.011688977022167046,0.7037608174126325,0.039285714285714285,0.4773809523809524,0.25833333333333336,0.18705888778804858,2204,False,,False,False
PRB4,28.0,0.19047619047619047,0.02476177955507621,0.2930448220975423,0.37142857142857144,0.14246031746031745,0.2569444444444444,0.21600806712030352,2087,False,,False,False
LAIR2,66.0,0.44047619047619047,0.018165995381791773,0.6595221457615714,0.12301587301587301,0.3873015873015873,0.25515873015873014,0.2758317719261034,1844,False,,False,False
COX20,40.333333333333336,0.3013888888888889,0.023038977053106747,0.4831621568632109,0.2904761904761905,0.21785714285714286,0.25416666666666665,0.26717953753423457,1882,False,,False,False
CKLF-CMTM1,41.333333333333336,0.30773809523809526,0.026796147479992687,0.1373380424953065,0.4222222222222222,0.08492063492063492,0.25357142857142856,0.22262735524697272,2068,False,,False,False
NOP53,81.33333333333333,0.4880952380952381,0.02423479010178032,0.4840889048663453,0.30277777777777776,0.20238095238095238,0.25257936507936507,0.31040787762486166,1689,False,,False,False
USP36,70.0,0.4523809523809524,0.02587545728510721,0.3362808117809816,0.36944444444444446,0.13452380952380952,0.251984126984127,0.282239332316985,1815,False,,False,False
CENPJ,41.333333333333336,0.30773809523809526,0.02445744732077957,0.3533217589009179,0.34404761904761905,0.15833333333333333,0.2511904761904762,0.2559316859828915,1932,False,,False,False
NEFL,11.333333333333334,0.0025793650793650793,0.023082213005347026,0.2818398207537502,0.3468253968253968,0.15555555555555556,0.2511904761904762,0.05182067646918499,2512,False,,False,False
CNIH4,26.0,0.16428571428571428,0.02504603396094142,0.2093068974847263,0.38293650793650796,0.11904761904761904,0.2509920634920635,0.19565116081323525,2169,False,,False,False
LSMEM1,20.0,0.0867063492063492,0.01779078545214484,0.5958216981492135,0.17142857142857143,0.326984126984127,0.2492063492063492,0.16938967151495957,2255,False,,False,False
