gene,ISCI_core,p_value,q_value
RCC2,0.9446282911858074,0.02197802197802198,0.9681849681849682
ZEB1,0.9446112748231051,0.017982017982017984,0.9681849681849682
CORO7,0.9445396027137543,0.016983016983016984,0.9681849681849682
SMS,0.9444970625395055,0.022977022977022976,0.9681849681849682
L3MBTL2,0.9444673588621232,0.024975024975024976,0.9681849681849682
GRK6,0.9443746681141548,0.022977022977022976,0.9681849681849682
CANT1,0.9442892337978246,0.024975024975024976,0.9681849681849682
BCLAF1,0.9440481320612936,0.022977022977022976,0.9681849681849682
TMEM131,0.943972849328135,0.028971028971028972,0.9706979067444184
KMT5B,0.9439612344608843,0.023976023976023976,0.9681849681849682
ATP2A2,0.9439506183245668,0.017982017982017984,0.9681849681849682
COMMD7,0.9436202447074882,0.027972027972027972,0.9681849681849682
PCLAF,0.9434565990484653,0.01898101898101898,0.9681849681849682
ATRX,0.9434563158365994,0.01998001998001998,0.9681849681849682
STRIP2,0.9433654063734132,0.025974025974025976,0.9681849681849682
USP38,0.9432109815181284,0.022977022977022976,0.9681849681849682
ITM2B,0.9431498712883858,0.02197802197802198,0.9681849681849682
UBL3,0.9430379904440729,0.022977022977022976,0.9681849681849682
SSBP3,0.9429568205011539,0.022977022977022976,0.9681849681849682
RAB8A,0.9429409403351819,0.026973026973026972,0.9681849681849682
CYTIP,0.9428847259334433,0.025974025974025976,0.9681849681849682
TLN1,0.9427665832867125,0.024975024975024976,0.9681849681849682
GLRX,0.9426219778369226,0.02197802197802198,0.9681849681849682
MORF4L1,0.942457181487764,0.02197802197802198,0.9681849681849682
IER5,0.9424425194736646,0.025974025974025976,0.9681849681849682
GMFB,0.9423248607737319,0.01898101898101898,0.9681849681849682
CCDC124,0.9421777643190786,0.024975024975024976,0.9681849681849682
STAT2,0.9421747815302175,0.01998001998001998,0.9681849681849682
BATF,0.9421442828867457,0.011988011988011988,0.9681849681849682
INTS10,0.9419314751802488,0.016983016983016984,0.9681849681849682
SNX10,0.9418857741693408,0.017982017982017984,0.9681849681849682
SHMT2,0.9416613968505578,0.03296703296703297,0.9785037097290062
ATG3,0.9415012257537866,0.014985014985014986,0.9681849681849682
AAGAB,0.9414314206515167,0.01898101898101898,0.9681849681849682
SP140L,0.9410058157396767,0.024975024975024976,0.9681849681849682
UBR4,0.9409124466606461,0.01998001998001998,0.9681849681849682
APOL3,0.9407520180501818,0.027972027972027972,0.9681849681849682
SLC38A10,0.9405511865816031,0.01998001998001998,0.9681849681849682
GLS,0.9405483668323966,0.025974025974025976,0.9681849681849682
BRK1,0.9402986148767142,0.026973026973026972,0.9681849681849682
PHF20L1,0.9401386644947051,0.02097902097902098,0.9681849681849682
PAN3,0.940078038011188,0.015984015984015984,0.9681849681849682
TXNDC5,0.9399797247002868,0.02097902097902098,0.9681849681849682
DAXX,0.9399691257856072,0.024975024975024976,0.9681849681849682
ANP32B,0.9399381117163291,0.027972027972027972,0.9681849681849682
PLCG1,0.9399210500806787,0.025974025974025976,0.9681849681849682
SUMF2,0.9399134057309447,0.02097902097902098,0.9681849681849682
LDHB,0.9397426851673314,0.022977022977022976,0.9681849681849682
CCDC85B,0.9397311853687556,0.026973026973026972,0.9681849681849682
RNF125,0.9395010991572466,0.02097902097902098,0.9681849681849682
SELPLG,0.9392286285287629,0.026973026973026972,0.9681849681849682
SUCLG1,0.9391897053727878,0.026973026973026972,0.9681849681849682
SMAD4,0.9391121801400957,0.022977022977022976,0.9681849681849682
WDR76,0.9391090161809241,0.023976023976023976,0.9681849681849682
STT3A,0.9391066516083456,0.022977022977022976,0.9681849681849682
SP2,0.9389785533726385,0.02197802197802198,0.9681849681849682
CTDSPL2,0.9388742696352926,0.01998001998001998,0.9681849681849682
ABCC1,0.9387650346588637,0.022977022977022976,0.9681849681849682
IFI35,0.9384309438522674,0.016983016983016984,0.9681849681849682
APOL2,0.9383156268503221,0.025974025974025976,0.9681849681849682
UBE3A,0.9380878411026706,0.023976023976023976,0.9681849681849682
BTG3,0.9379722641051808,0.028971028971028972,0.9706979067444184
SLTM,0.9378184714476617,0.026973026973026972,0.9681849681849682
GPR171,0.9377187575264369,0.03496503496503497,0.9785037097290062
CMTM6,0.9376462026230036,0.028971028971028972,0.9706979067444184
TIMMDC1,0.9375918846932314,0.03596403596403597,0.9785037097290062
DYNLT2B,0.937241335399291,0.024975024975024976,0.9681849681849682
NDUFB6,0.9372289407789618,0.022977022977022976,0.9681849681849682
TXLNG,0.9372128763778615,0.026973026973026972,0.9681849681849682
BRI3BP,0.9370957043110322,0.025974025974025976,0.9681849681849682
RICTOR,0.9370478641486598,0.03496503496503497,0.9785037097290062
XBP1,0.9368158836502426,0.023976023976023976,0.9681849681849682
CANX,0.9367737066083595,0.025974025974025976,0.9681849681849682
PDIA6,0.9366226854849297,0.024975024975024976,0.9681849681849682
UBE4A,0.9364914947834875,0.026973026973026972,0.9681849681849682
ARL8A,0.9360624255417199,0.029970029970029972,0.9785037097290062
DLGAP5,0.9358864582627455,0.029970029970029972,0.9785037097290062
BRPF1,0.9356942452482258,0.02097902097902098,0.9681849681849682
PPP1R15B,0.9355136045235204,0.03496503496503497,0.9785037097290062
PSIP1,0.935313744488498,0.027972027972027972,0.9681849681849682
TTC39B,0.9352329033818381,0.027972027972027972,0.9681849681849682
SRGN,0.9348052770874928,0.027972027972027972,0.9681849681849682
CRLS1,0.9345044634131859,0.030969030969030968,0.9785037097290062
CNOT6L,0.9344766028986734,0.03696303696303696,0.9785037097290062
NF2,0.9344211649717358,0.023976023976023976,0.9681849681849682
ST8SIA4,0.934327577208941,0.02097902097902098,0.9681849681849682
SIPA1,0.9343106046917762,0.03396603396603397,0.9785037097290062
PIGT,0.9342642462770869,0.02197802197802198,0.9681849681849682
JUNB,0.9341964122674197,0.03296703296703297,0.9785037097290062
SEC63,0.9341426366924426,0.03196803196803197,0.9785037097290062
COX18,0.9339840018994535,0.03196803196803197,0.9785037097290062
L2HGDH,0.9337440186076049,0.024975024975024976,0.9681849681849682
ZFAND1,0.9336558554918964,0.03396603396603397,0.9785037097290062
CD52,0.9335000119467414,0.03196803196803197,0.9785037097290062
GPAA1,0.9334892021312821,0.03396603396603397,0.9785037097290062
TRAM1,0.9334639909457773,0.027972027972027972,0.9681849681849682
PTPN9,0.9334141891512849,0.025974025974025976,0.9681849681849682
MDM4,0.9334131103417193,0.025974025974025976,0.9681849681849682
STING1,0.9332756729467022,0.03996003996003996,0.9785037097290062
NDUFA12,0.9332686975064768,0.03496503496503497,0.9785037097290062
KDM3B,0.9330690187211811,0.03296703296703297,0.9785037097290062
ALG8,0.9330003567639705,0.024975024975024976,0.9681849681849682
BAHD1,0.9327094870827205,0.03896103896103896,0.9785037097290062
FLT3LG,0.9326619341215076,0.028971028971028972,0.9706979067444184
GNAI3,0.9326552766039069,0.01898101898101898,0.9681849681849682
