gene,magnitude,n_de,n_cells,base_expr,reproducibility,specificity,S_resid,R_resid,C,detectable,is_positive,is_matched_negative
TRAF3IP2,27.075710138086748,431,777,2.4592143297195435,0.4612612333677432,0.12239854380509861,-0.42455242966752493,25.334307636097897,0.7028985507246377,False,True,False
TNFRSF1B,35.88281027131074,1036,598,4.856691002845764,0.6751153656074903,0.13357300901577943,-8.0,32.0,0.6956521739130435,True,False,True
FOXQ1,44.480634495053344,1917,237,0.12069953978061676,0.4574649508123641,0.41196054525557074,15.339641943734023,7.53255389112168,0.6811594202898551,True,False,False
IL1R1,33.675874745708946,903,445,0.7319219186902046,0.41924041489217556,0.25464256251961076,9.595907928388748,12.555717939349648,0.6666666666666666,False,False,False
INPPL1,46.18365921516779,2248,281,2.7227054834365845,0.4029094467394527,0.6357521990449708,20.062915601023022,-0.7120204603580476,0.6231884057971014,True,False,True
IL9R,28.23350525660972,527,513,0.47778184711933136,0.3430270740002663,0.20324773061294873,14.298721227621478,3.089733284618177,0.6159420289855072,False,False,False
GATA3,48.26588030857221,2313,205,4.759256482124329,0.46224578315969084,0.2731576573715064,3.743734015345268,7.976835951772024,0.5942028985507246,True,True,False
PIK3AP1,28.96430848998639,566,536,2.2347635626792908,0.3724576819062988,0.1391328041260235,0.6603580562659808,9.467446108878317,0.5869565217391305,False,True,False
FOXD2,46.01213901669333,2050,213,0.1755259558558464,0.4300052042157101,0.28174129023447936,5.3820971867007685,4.599123127511888,0.5652173913043478,True,False,False
EOMES,72.88107247516056,4757,102,1.8189508020877838,0.5477181323132542,0.2594292273093944,-0.8521739130434725,12.421118012422369,0.5652173913043478,True,True,False
LTBR,39.78334765414782,1300,448,0.850592128932476,0.6662812210478307,0.049885040473353175,-24.787723785166236,26.33284618195104,0.5362318840579711,True,False,True
RELA,31.266790021356265,758,427,3.5176212191581726,0.33409713062061225,0.1933020058676328,10.426086956521736,-4.7105590062111915,0.5362318840579711,False,True,False
IL2,26.95048742166625,454,600,3.228721708059311,0.31180722644069964,0.16589968897232565,10.894629156010225,-6.354548776032171,0.5289855072463768,False,False,False
OTUD7B,39.46275417745034,1450,260,3.605133056640625,0.3123507351259076,0.44489917292562065,20.53145780051151,-19.356010230179024,0.5072463768115942,True,False,True
WT1,34.72117637530676,964,442,0.17801403254270554,0.5052862903287467,0.04211364599031,-22.042455242966753,20.933430763609785,0.4927536231884058,False,False,False
BICDL2,37.22000109951388,962,428,0.0579405203461647,0.5745850941802041,0.016327212358768644,-30.915089514066494,24.133138472780416,0.4927536231884058,True,False,True
TNFRSF12A,32.22455058301147,849,384,1.331961303949356,0.34048474179419275,0.158141313953489,2.510997442455242,-3.577420533430775,0.4855072463768116,False,False,False
CD28,38.208578192961795,1403,279,5.1398701667785645,0.27170802997179155,0.41305891499302333,20.808184143222505,-28.111435878699304,0.47101449275362317,True,True,False
PRDM13,34.76682997555651,1045,344,0.06268847733736038,0.3287253071118439,0.2400123883948126,7.6383631713555005,-10.377712824260144,0.47101449275362317,False,False,False
TNFRSF9,30.314609906982408,752,405,4.07711124420166,0.25581848758463,0.2687982397605215,18.702813299232734,-22.46598465473147,0.463768115942029,False,True,False
CNR2,31.36679381369107,742,452,0.5800263062119484,0.41443882317859937,0.039736852186673,-19.212276214833764,14.667153818048948,0.463768115942029,False,False,False
LHX6,30.790828912016348,732,451,0.23982550203800201,0.3709951404267822,0.06908835434080586,-10.254731457800514,6.600584581658737,0.463768115942029,False,False,False
TAGAP,30.321391552781165,679,471,4.814753890037537,0.4087082025567376,0.01876601513431888,-20.616368286445017,15.222871757398597,0.45652173913043476,False,False,False
NOTCH1,32.97201355824784,809,469,3.450922667980194,0.474926188480274,0.013934731749758135,-27.446547314578005,20.48914870295944,0.4492753623188406,False,False,False
PRKD2,26.112154059908818,399,637,2.897482752799988,0.3523005056062896,0.04329774889534715,-11.786189258312024,5.956594811837757,0.4420289855072464,False,True,False
TBX21,41.261275584159755,1485,391,3.86799556016922,0.6181290342059506,5.473183533493687e-06,-39.74526854219948,22.399415418341256,0.43478260869565216,True,True,False
DEF6,36.9991659717879,1358,282,3.93489146232605,0.25006557683634106,0.40632626279418116,20.404092071611252,-32.555717939349655,0.427536231884058,True,True,False
FOSB,38.70146713930498,1481,250,2.201326549053192,0.3426588312739631,0.18889505175872826,0.4890025575447581,-9.422579466569232,0.42028985507246375,True,False,False
PLCG2,33.06942845924037,899,420,4.318657994270325,0.36731531008711255,0.10679927295878133,-9.765728900255752,0.17800511508950478,0.41304347826086957,False,True,False
TRIM21,27.40920164552218,498,529,3.2492445707321167,0.3124844123152004,0.0945239690900464,-4.062915601023022,-5.287979539641963,0.4057971014492754,False,False,False
NLRC3,36.23430140908445,1258,279,3.167033076286316,0.2204952562417444,0.30377139627060745,15.042455242966753,-32.93343076360979,0.38405797101449274,True,False,False
OTUD7A,33.50994759444476,966,337,1.5280135869979858,0.2777287830541081,0.17501814319491787,3.9150895140664943,-22.133138472780423,0.3695652173913043,False,False,False
CEACAM1,37.60525124369391,1340,270,2.2867828011512756,0.2853160961194575,0.25550034894483176,6.446547314578005,-23.48914870295944,0.3695652173913043,True,False,False
CBY1,27.393435584376164,522,539,1.7869409918785095,0.28894964178180427,0.07943865700966148,-5.743734015345272,-10.976835951772031,0.34782608695652173,False,False,False
CD2,30.464111183112767,786,400,6.745599031448364,0.26406802379732536,0.14386043331199885,0.0644501278772367,-21.08827183047133,0.3333333333333333,False,False,False
IL2RB,31.863687744563876,840,425,4.811320185661316,0.33452910587096185,0.051867595079901005,-14.850639386189261,-4.955133357690912,0.32608695652173914,False,True,False
APOBEC3D,39.35086720274853,1469,303,2.6956101655960083,0.3736639377450295,0.08178672960695119,-17.83017902813299,-0.7337230544391673,0.32608695652173914,True,False,True
IKZF3,42.540439658346564,1762,254,4.647812843322754,0.3251432644720293,0.150523646003828,-9.064450127877237,-17.911728169528672,0.30434782608695654,True,True,False
