gene,magnitude,nDE,S_axis,best_axis,R,S_resid,R_resid,C,base_expr,ncells,is_positive,is_negative
CDKN1A,92.17359316281333,314,0.5756273979576852,erythroid,0.96783829669098,0.6415094339622641,0.6792452830188679,0.660377358490566,0.00595821300521493,360,False,True
COL1A1,134.31045973323486,1151,0.6851407709619513,erythroid,0.9817343319022739,0.6792452830188679,0.6037735849056604,0.6415094339622641,0.004189734812825918,328,False,True
SNAI1,89.1503820694593,315,0.36932199976693164,erythroid,0.9636178487761448,0.5094339622641509,0.660377358490566,0.5849056603773585,0.032068055123090744,467,True,False
HES7,189.11779450173583,3021,0.7961622334623784,erythroid,0.968194122579509,0.7358490566037735,0.4339622641509434,0.5849056603773585,0.001266762614250183,126,False,True
RHOXF2,129.89317330846345,1191,0.6346950585623122,erythroid,0.9761250732649891,0.6226415094339622,0.5283018867924528,0.5754716981132075,0.24836279451847076,328,False,True
SPI1,137.46882204660983,1414,0.2599723026635294,megakaryocyte,0.9921964935043688,0.32075471698113206,0.8301886792452831,0.5754716981132075,0.20916436612606049,613,True,False
MIDN,109.10668682237907,586,0.40886420019498154,erythroid,0.9656550189532936,0.5471698113207547,0.49056603773584906,0.5188679245283019,0.31866148114204407,298,False,True
CDKN1C,108.07682522185216,615,0.6421179624392434,erythroid,0.9407359799173287,0.660377358490566,0.32075471698113206,0.49056603773584906,0.1348865032196045,230,False,True
SET,118.29704431882165,759,0.09774634329373574,megakaryocyte,0.9916021027459201,0.07547169811320754,0.8867924528301887,0.4811320754716981,2.4093902111053467,986,False,False
IRF1,129.53358908555754,767,0.20768178531251077,megakaryocyte,0.9889801296103585,0.20754716981132076,0.7169811320754716,0.46226415094339623,0.04021184518933296,427,True,False
CKS1B,117.9066032667515,756,0.46270698027084095,erythroid,0.9608640268557401,0.5660377358490566,0.33962264150943394,0.4528301886792453,1.4791374206542969,241,False,False
MAP2K6,96.03485734919867,409,0.4397681822228703,erythroid,0.9177761648841791,0.6037735849056604,0.3018867924528302,0.4528301886792453,0.0001588771992828697,878,False,True
