gene,L1_state,R_migration,L3_synapse,R_killing,TSC,magnitude,ISCI_orthogonal
USO1,2.266241288845158,0.29555413609081654,0.29281435127522226,0.04469352338321456,0.28530032150132684,708.0,0.4593253968253968
EID2,0.9502298001314222,0.20346749106683162,-0.09098935814589248,0.4127638221462082,0.1334672543707024,95.0,0.2021825396825396
MED13,1.9385087994696442,0.037730925668543226,0.22509725317522075,-1.5688152624857787,-0.07709656701388823,297.3333333333333,0.5188492063492064
DDRGK1,3.5237762204413796,-0.8880525525561406,-1.1783566256532607,-1.9215613176447768,-1.40388266938372,1515.0,0.6543650793650794
INO80,2.0856652949955867,0.8844080447391395,0.596929816117789,-2.169568949646517,1.1206101391230023,306.0,0.4468253968253968
ACTR8,1.6988533316723597,0.5334949989163211,1.0860476252119176,0.46688435988703797,0.6385127394131636,803.0,0.7126984126984126
MMAB,0.849446287295202,1.4373962602431358,1.2279521676265317,0.504446041811412,1.9000732118921997,695.6666666666666,0.5087301587301587
COX11,2.246191351196403,0.8954674160336904,0.04821315425618891,0.9827629649423691,1.1142643927615965,547.0,0.6351190476190476
UBE2E2,-0.09280411672694533,0.42005714056373505,1.126034447356399,2.4893847606054833,0.4641219041114343,552.0,0.5595238095238095
MYCN,0.8249109668325199,0.6491686229460277,0.4941860175479739,0.7033581420409373,0.7739789250098902,185.33333333333334,0.4537698412698412
CCDC28B,2.2273871215096612,0.14536755284492606,-0.39966858625486285,1.0821872866840516,0.05092463466457099,156.33333333333334,0.3785714285714285
CNOT9,0.7353269666148573,0.4387278413713368,0.17707324003925143,1.3750600530458807,0.4677408528784075,118.66666666666667,0.4111111111111111
COMMD10,1.5368906417763744,0.3496511576872788,-0.4386939590095833,-0.012727973192567429,0.33177410525737444,140.33333333333334,0.1166666666666666
MTA2,-1.2515555713977526,1.094497071429624,1.3205162902299017,2.838611571059605,1.4037335758987712,1474.3333333333333,0.6994047619047619
SCAF8,1.3297944778612956,0.9172116968803861,0.308203866256718,0.1137639496862168,1.147509105365585,86.66666666666667,0.5375000000000001
MTG1,1.7660700566721825,1.4791411394248986,0.6623500703721306,0.03395313574024952,1.947942998043242,637.3333333333334,0.4176587301587302
IST1,0.5042898295410972,0.19771375219087403,-0.1580727079014752,0.4945134621166634,0.11970273896124091,402.0,0.8025793650793651
SGF29,4.267566369941712,-1.9814928396359313,-1.5834705575326284,-4.011351642715381,-2.9362732096316435,4121.333333333333,0.5176587301587302
PSMB9,1.1138867121381641,0.9729386007542697,0.7939071996545415,0.7288539916508516,1.2384315290960486,112.66666666666667,0.1779761904761904
KCNA2,1.3940093611300322,0.2418250497398093,0.5123937921913534,1.0612887322865785,0.20891100563771078,125.66666666666667,0.4081349206349206
DGKH,0.8004598627560886,-0.05629653795927351,0.013083089445882393,0.6000949907988319,-0.2277448839798534,150.0,0.4422619047619047
ARNT,2.732870339335727,-1.7563346938439406,-0.3003640828769615,-0.13375942430461127,-2.598289760553765,2636.6666666666665,0.721031746031746
NDFIP2,1.1034771322376842,1.1619087153224446,1.4698372366094672,-0.23121299424284247,1.5259791610693012,321.6666666666667,0.7293650793650793
CTPS1,-0.5155374828655817,0.49843352045682127,-0.40033649866714355,1.8175652095947485,0.5222064929388951,408.0,0.6186507936507937
SHLD1,-0.41486467183006176,0.0478620424967862,0.3537023028225619,2.522000109635716,-0.08365871301857292,385.3333333333333,0.8057539682539683
IRF2BP1,1.5011340594125224,0.05287694677111676,0.32340955698996005,-0.5233206681342915,-0.05784782793327163,122.66666666666667,0.8178571428571428
SEC14L1,0.8680321340808953,-0.5006643110694609,-0.15544998562599677,0.5363583450112152,-0.853740512776251,440.0,0.6406746031746031
AEBP2,2.8617220762186326,0.17797236620445098,-0.4253753118239128,-1.0090120996942786,0.10403607181348125,192.33333333333334,0.7557539682539682
NFRKB,1.5962083702862668,1.1199798233584388,1.2143924391719334,-1.0961268266860869,1.4643304209469437,2810.6666666666665,0.5148809523809523
PPAT,0.7494720884133975,0.537347599069628,0.1874032189799567,0.27584725180047676,0.6078850300236178,176.66666666666666,0.4458333333333333
NSD1,2.1682942970017622,-0.15753479769173337,0.24142977677609997,-1.961013386141319,-0.3471073509462021,1978.6666666666667,0.609920634920635
MRPS9,2.0743105000172033,0.5639730802043438,-0.09709900140789542,-1.2837878559276688,0.6486640643119007,242.66666666666666,0.4811507936507936
TUFM,2.683819911678183,0.7997861677042292,0.2481067489928544,-2.2475135226168987,0.9957491697379315,416.6666666666667,0.4791666666666666
GDAP2,0.13021414528540864,0.40328032340628617,0.6848188254562171,1.9555121240636215,0.42900373572640693,715.3333333333334,0.6617063492063492
MED1,1.2446496914592804,0.4245206488010658,0.3997100895003855,-1.4363609530521284,0.4636978579758321,434.3333333333333,0.6065476190476191
DLAT,2.404085772051963,0.577607211880869,0.2203818056478512,-0.8903458125540382,0.6798559674592297,373.3333333333333,0.6347222222222222
IFI27L1,0.8872046824084336,0.4652437728687853,-0.0537126159185198,0.7289187750072382,0.49958964769501485,234.66666666666666,0.528968253968254
SPTLC2,1.6931175889100396,0.6773106981167006,1.0754165596429421,-0.5081241240444602,0.8407965538288587,165.33333333333334,0.3311507936507936
UNC45A,1.010152550524697,0.7485634218148004,0.5760272784325098,1.0409641264925125,0.9164191825912275,171.66666666666666,0.6972222222222222
ISCA2,2.5617746021115573,1.457297581177269,0.6460400911033017,-0.5150392368972742,1.923895078215229,565.6666666666666,0.685515873015873
STIP1,1.8177782145291,-0.8209909754318853,0.21593678928059135,-0.37043962444828954,-1.2807110656020129,1161.0,0.566468253968254
CCDC93,2.0717436485082956,0.6545976823774041,-0.08869479258286142,-0.5879109566317982,0.7744304707198026,199.0,0.5456349206349207
SLC25A1,2.0975947522144747,0.9257607313514089,0.798282924774065,-0.37063481606149146,1.182001606068971,158.0,0.5740079365079365
TMEM140,1.2087868063704623,1.6566904185316425,0.7285343700454779,-0.10007254833602643,2.1942321275546766,84.33333333333333,0.6537698412698413
MRPS26,1.4155548372044926,0.4767339278568015,0.04087683052819228,-0.13293113458983707,0.5242022308182238,145.0,0.6115079365079366
RNFT1,1.1986872713603038,1.4598898370332527,0.6518497281391733,-0.7666210361764597,1.9176907772023544,181.66666666666666,0.0394841269841269
ATM,-0.15534878860101992,-0.12638844971540777,-0.12193909213309612,1.9920660481405943,-0.3397454606760936,103.66666666666667,0.7160714285714285
SMARCE1,1.3918634047519658,0.12729084867969573,0.4073753996925723,-1.8281033085738088,0.05024095840224356,2411.0,0.8075396825396826
STAT5A,-0.7343683485079153,0.7497582378917667,0.7324723724467369,2.1283196719636326,0.9079663114643218,96.33333333333333,0.801984126984127
ARIH1,1.0291690658229316,0.8542960111398509,0.18621417297026918,1.2554835303105067,1.051398352311409,635.3333333333334,0.6472222222222223
BRPF1,0.8734362521664297,0.4478487336409051,0.6003833265345616,-0.1916087703739213,0.49786697735738544,1198.3333333333333,0.4922619047619048
